Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,570000000,640000000,638000000,643000000,673000000,671000000,612000000,641000000,638000000,..
American Samoa,ASM,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-0.588347444,-0.154365338,0.086186779,0.132725923,0.026882443,-0.120130903,-0.219117154,-0.280883888,-0.269018786,-0.20812792
American Samoa,ASM,"Population, total",SP.POP.TOTL,55755,55669,55717,55791,55806,55739,55617,55461,55312,55197
American Samoa,ASM,"Population, male",SP.POP.TOTL.MA.IN,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Population, female",SP.POP.TOTL.FE.IN,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,43334.81141,38686.46126,39540.72481,41303.92937,35770.7767,37475.63506,38964.90448,41791.96984,40897.33087,..
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.834867424,-3.45153545,-1.568871338,4.519279413,3.02081678,4.646211549,0.734439351,1.574254317,1.833060593,-12.09165965
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.95605842
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3629203786,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750,3218316013,3155065488,..
Andorra,AND,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,..,..,47.83740997,47.54520035,47.34968948,..,..,..,..
Andorra,AND,Population growth (annual %),SP.POP.GROW,-0.839471761,-1.589923668,-2.030744369,-1.946518269,-1.552134769,-0.898980862,-0.386281039,0.014285251,0.179041785,0.154134127
Andorra,AND,"Population, total",SP.POP.TOTL,83748,82427,80770,79213,77993,77295,76997,77008,77146,77265
Andorra,AND,"Population, male",SP.POP.TOTL.MA.IN,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Population, female",SP.POP.TOTL.FE.IN,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,4.4,4.1,3.9,3.7,3.5,3.4,3.2,3.1,3,..
Angola,AGO,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,3.8,..,..
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,4615.468219,5100.097027,5254.881126,5408.4117,4166.979833,3506.073128,4095.810057,3289.643995,2809.626088,1895.770869
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.220842988,4.70651886,1.291993845,1.219880621,-2.468737307,-5.816187549,-3.409983376,-5.162111791,-3.795607965,-7.079822354
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.471976345,8.542187643,4.954544646,4.822627568,0.943571561,-2.580049644,-0.147212941,-2.003629727,-0.624644318,-4.04051
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1.1179E+11,1.28053E+11,1.3671E+11,1.45712E+11,1.16194E+11,1.01124E+11,1.22124E+11,1.01353E+11,89417190341,62306913444
Angola,AGO,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,..,..,15.86353016,..,..,..,..,..,..
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.634150215,3.597754539,3.551997427,3.497447411,3.438869368,3.378269432,3.322158363,3.276144588,3.242914028,3.218530352
Angola,AGO,"Population, total",SP.POP.TOTL,24220660,25107925,26015786,26941773,27884380,28842482,29816769,30809787,31825299,32866268
Angola,AGO,"Population, male",SP.POP.TOTL.MA.IN,11974824,12413552,12863801,13323488,13791244,14266355,14749319,15241459,15744779,16260870
Angola,AGO,"Population, female",SP.POP.TOTL.FE.IN,12245836,12694373,13151985,13618285,14093136,14576127,15067450,15568328,16080520,16605398
Angola,AGO,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,32.3,..,..
Angola,AGO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.12,6.039,5.953,5.864,5.774,5.686,5.6,5.519,5.442,..
Angola,AGO,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,112.3,105,98.6,93,88.2,84.2,80.6,77.7,74.7,..
Antigua and Barbuda,ATG,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,12746.63347,13272.73494,12910.59063,13501.58092,14285.32978,15198.74297,15383.5764,16673.4369,17113.34977,14449.99652
Antigua and Barbuda,ATG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-3.298786215,2.049933173,-1.798966587,2.616052309,2.705718436,4.43856923,2.166386809,5.998457653,2.464670466,-16.67109906
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.958612628,3.3728662,-0.600876397,3.795727613,3.825293099,5.497788456,3.144598617,6.950416555,3.351160885,-15.97350964
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467977778,1605351852,1661962963,1415059259
Antigua and Barbuda,ATG,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,1.376375519,1.288027737,1.21265579,1.143043433,1.084181616,1.00909459,0.952914631,0.894078681,0.861445784,0.833667149
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,89250,90407,91510,92562,93571,94520,95425,96282,97115,97928
Antigua and Barbuda,ATG,"Population, male",SP.POP.TOTL.MA.IN,42763,43373,43951,44502,45028,45518,45986,46419,46851,47269
Antigua and Barbuda,ATG,"Population, female",SP.POP.TOTL.FE.IN,46487,47034,47559,48060,48543,49002,49439,49863,50264,50659
Antigua and Barbuda,ATG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.989,1.993,1.998,2.001,2.003,2.003,1.999,1.994,1.987,..
Antigua and Barbuda,ATG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,9.5,9,8.5,8.1,7.8,7.4,7.1,6.9,6.6,..
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,4.8,5,5,5.1,..,4.9,5.1,5,4.7,..
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11633.49801,9912.281809,8441.919439
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.788683139,-2.14528445,1.265685175,-3.57858051,1.629664279,-3.110063898,1.757648183,-3.550091173,-3.055854858,-10.77497741
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.565351882,-2.088014861,-9.905234856
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,5.30163E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57531E+11,6.43629E+11,5.17627E+11,4.45445E+11,3.83067E+11
Argentina,ARG,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1.15305928,1.136905694,1.1191092,1.099461091,1.078001344,1.057181578,1.037133897,1.015808349,0.993397493,0.970053991
Argentina,ARG,"Population, total",SP.POP.TOTL,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763
Argentina,ARG,"Population, male",SP.POP.TOTL.MA.IN,20082606,20318174,20552749,20785770,21016705,21245521,21472290,21696699,21918496,22137442
Argentina,ARG,"Population, female",SP.POP.TOTL.FE.IN,21178884,21415097,21650186,21883730,22115261,22344847,22572521,22797803,23020216,23239321
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,30.3,25.7,32,35.5,42
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.338,2.33,2.322,2.312,2.301,2.288,2.275,2.261,2.247,..
Argentina,ARG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,13.9,13.3,12.7,12.1,11.5,10.9,10.3,9.8,9.3,..
Armenia,ARM,Income share held by lowest 20%,SI.DST.FRST.20,9,9,8.6,8.4,8.2,7.9,8.4,8.1,9,..
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,3525.807198,3681.844691,3838.17388,3986.231624,3607.289299,3591.828052,3914.527854,4220.540321,4622.738182,4267.452119
Armenia,ARM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.7283176,6.913698623,2.823926169,3.073178678,2.735918024,-0.161329865,7.18452239,4.952230836,7.38219728,-7.771688905
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.699999999,7.200000001,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.6
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566,12457941907,13672802158,12645459214
Armenia,ARM,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,90.23760986,..,..,..,91.83743286,..,90.09664917,..,..,89.88085938
Armenia,ARM,Population growth (annual %),SP.POP.GROW,-0.027042763,0.267429455,0.461930535,0.509812126,0.450705992,0.361260408,0.293899006,0.235799808,0.202624028,0.185983345
Armenia,ARM,"Population, total",SP.POP.TOTL,2876536,2884239,2897593,2912403,2925559,2936147,2944789,2951741,2957728,2963234
Armenia,ARM,"Population, male",SP.POP.TOTL.MA.IN,1346388,1351255,1359259,1367900,1375333,1381014,1385362,1388600,1391269,1393747
Armenia,ARM,"Population, female",SP.POP.TOTL.FE.IN,1530148,1532984,1538334,1544503,1550226,1555133,1559427,1563141,1566459,1569487
Armenia,ARM,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,26.4,..
Armenia,ARM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.724,1.725,1.728,1.732,1.738,1.744,1.75,1.755,1.758,..
Armenia,ARM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,17.6,16.7,15.9,15.1,14.4,13.7,13,12.4,11.8,..
Aruba,ABW,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,24985.01392,24712.49326,26441.61994,26893.01151,28396.90842,28452.17061,29350.80502,30253.27936,..,..
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.05578791,-1.865105256,3.592223121,-0.29053442,5.129657088,1.587868753,1.519821434,..,..,..
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.44605475,-1.369863014,4.198232323,0.3,5.700000876,2.099999586,1.999999104,..,..,..
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2549720670,2534636872,2727849721,2790849162,2962905028,2983636872,3092430168,3202188607,..,..
Aruba,ABW,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.377979489,0.503385468,0.58329043,0.590508189,0.541048337,0.502859514,0.471874003,0.459265888,0.437414676,0.428016948
Aruba,ABW,"Population, total",SP.POP.TOTL,102050,102565,103165,103776,104339,104865,105361,105846,106310,106766
Aruba,ABW,"Population, male",SP.POP.TOTL.MA.IN,48648,48870,49115,49368,49597,49821,50033,50244,50443,50642
Aruba,ABW,"Population, female",SP.POP.TOTL.FE.IN,53402,53695,54050,54408,54742,55044,55328,55602,55867,56124
Aruba,ABW,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.779,1.795,1.813,1.834,1.854,1.872,1.886,1.896,1.901,..
Aruba,ABW,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,7.4,..,..,..,..,..,..
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,62517.83375,68012.1479,68150.10704,62510.79117,56755.72171,49971.13146,54027.96682,57354.96405,55057.2047,51812.15404
Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.048854351,2.119683584,0.834364138,1.015114223,0.732407044,1.177907008,0.591766543,1.379960221,0.618187911,-1.532086198
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.462756312,3.918162871,2.584897702,2.533114665,2.192647426,2.770652197,2.300610624,2.949285772,2.160956295,-0.284839298
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.39665E+12,1.54615E+12,1.57618E+12,1.46748E+12,1.35169E+12,1.20885E+12,1.32919E+12,1.43288E+12,1.39657E+12,1.3309E+12
Australia,AUS,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,74.0616684,76.48301697,72.03735352,73.59596252,75.55976105,76.41803741,77.26136017,78.32575989,79.04792786,80.05303192
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.389527316,1.745820001,1.72115144,1.491566489,1.439216653,1.561940498,1.684523108,1.536105516,1.521653677,1.258698172
Australia,AUS,"Population, total",SP.POP.TOTL,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24982688,25365745,25687041
Australia,AUS,"Population, male",SP.POP.TOTL.MA.IN,11167269,11355294,11541758,11705167,11867302,12049619,12252228,12441473,12632259,12791828
Australia,AUS,"Population, female",SP.POP.TOTL.FE.IN,11172755,11378171,11586371,11770519,11948693,12141288,12349632,12541215,12733486,12895213
Australia,AUS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.926,1.92,1.855,1.826,1.814,1.752,1.741,1.74,1.657,..
Australia,AUS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,4.5,4.3,4.1,4,3.9,3.8,3.7,3.7,3.6,..
Austria,AUT,Income share held by lowest 20%,SI.DST.FRST.20,7.8,7.8,8.1,8,7.9,7.7,8,7.9,..,..
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,51374.95841,48567.69529,50716.70871,51717.49594,44178.04738,45276.83144,47309.36627,51453.14702,50121.55421,48327.63111
Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.576448318,0.222450577,-0.562298943,-0.122370667,-0.11154019,0.89246914,1.69076313,2.081696592,0.968753111,-6.650988563
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.922797284,0.680445577,0.025504712,0.661272849,1.014501586,1.989437162,2.399587603,2.580120733,1.418734272,-6.259034819
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,4.3112E+11,4.09425E+11,4.30069E+11,4.41996E+11,3.81818E+11,3.95569E+11,4.16207E+11,4.54873E+11,4.45075E+11,4.30947E+11
Austria,AUT,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,..,..,78.42658997,79.01290131,79.36898041,79.6625824,..,80.67404938,..
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.337080842,0.455937472,0.589387255,0.781541633,1.120992502,1.081396299,0.694621104,0.487071925,0.444673639,0.419000873
Austria,AUT,"Population, total",SP.POP.TOTL,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8917205
Austria,AUT,"Population, male",SP.POP.TOTL.MA.IN,4092609,4114435,4142296,4178984,4231048,4282881,4319226,4346935,4372358,4395722
Austria,AUT,"Population, female",SP.POP.TOTL.FE.IN,4299034,4315556,4337527,4367372,4411651,4453787,4478340,4493586,4507562,4521483
Austria,AUT,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,14.4,14.4,14.1,13.9,14.1,14.4,14.3,13.3,..,..
Austria,AUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.43,1.44,1.44,1.46,1.49,1.53,1.52,1.47,1.46,..
Austria,AUT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,4.2,4.1,3.9,3.8,3.7,3.6,3.6,3.5,3.5,..
Azerbaijan,AZE,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4805.753718,4214.311336
Azerbaijan,AZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.847182953,0.853886052,4.483203027,1.522431572,-0.147024804,-4.141174903,-0.824348483,0.62488441,1.616169342,-5.122379486
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.572997621,2.202939023,5.843415762,2.797585434,1.049546368,-3.063598454,0.153614647,1.500401707,2.480151591,-4.309989133
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40865558912,47112941176,48174235294,42607176471
Azerbaijan,AZE,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,88.65878296,88.71308899,88.71974182,88.71417236,88.66507721,88.6644516,88.50122833,..,88.41957855,..
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,1.303000855,1.328763827,1.293447027,1.248208997,1.191209858,1.11785721,0.981261805,0.866316916,0.846646726,0.852605732
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10110116
Azerbaijan,AZE,"Population, male",SP.POP.TOTL.MA.IN,4549072,4614067,4678173,4740934,4801750,4859774,4911735,4958380,5004135,5050149
Azerbaijan,AZE,"Population, female",SP.POP.TOTL.FE.IN,4624010,4681717,4738628,4794145,4847591,4898038,4942298,4981391,5020148,5059967
Azerbaijan,AZE,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,7.6,6,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.96,2,1.98,1.97,1.94,1.9,1.75,1.73,1.8,..
Azerbaijan,AZE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,35,32.6,30.4,28.3,26.3,24.6,23,21.6,20.4,..
"Bahamas, The",BHS,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,28005.9124,29485.86422,28784.02449,29980.70826,31295.56387,31563.30787,32719.66659,33767.94119,34863.38405,28607.90138
